S.N., time                   , place                                     , magnitude, longitude, latitude, depth
 203, 2016-06-13 23:27:42.520, "29 km N of Bharatpur, Nepal"             ,      4.1 ,   84.4925,  27.9339, 10.0
 204, 2016-05-28 09:39:10.850, "34 km NNW of Nagarkot, Nepal"            ,      4.6 ,   85.4237,  28.0097, 10.0
 205, 2016-05-26 09:29:25.640, "86 km NE of Lobujya, Nepal"              ,      4.0 ,   87.4821,  28.4555, 10.0
 206, 2016-05-23 19:09:52.790, "18 km W of Kirtipur, Nepal"              ,      4.3 ,   85.0896,  27.704 , 10.0
 207, 2016-05-23 18:09:03.320, "84 km NE of Lobujya, Nepal"              ,      4.2 ,   87.4903,  28.4178, 10.0
 208, 2016-05-22 04:49:45.200, "101 km NE of Lobujya, Nepal"             ,      4.3 ,   87.5853,  28.5599, 11.05
 209, 2016-05-22 02:55:42.320, "71 km NE of Lobujya, Nepal"              ,      4.0 ,   87.3554,  28.3854, 10.0
 210, 2016-05-22 02:05:54.680, "94 km NE of Lobujya, Nepal"              ,      5.1 ,   87.4796,  28.5654,  4.44
 211, 2016-05-22 01:48:48.130, "89 km NE of Lobujya, Nepal"              ,      5.4 ,   87.5326,  28.4538,  9.36
 212, 2016-05-22 01:46:09.770, "51 km NE of Lobujya, Nepal"              ,      4.0 ,   87.2227,  28.2457, 10.37
 213, 2016-05-22 01:32:31.690, "89 km NE of Lobujya, Nepal"              ,      4.5 ,   87.5067,  28.4767,  6.99
 214, 2016-05-21 07:59:00.050, "64 km NE of Lobujya, Nepal"              ,      4.0 ,   87.3528,  28.2817, 10.0
 215, 2016-05-14 22:45:55.420, Nepal                                     ,      4.4 ,   85.3631,  27.8608, 22.11
 216, 2016-05-13 23:20:59.460, "26 km N of Nagarkot, Nepal"              ,      4.0 ,   85.5191,  27.958 , 10.0
 217, 2016-05-11 08:52:47.570, "43 km NNE of Bharatpur, Nepal"           ,      4.5 ,   84.5639,  28.0545, 15.99
